locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKDPDCFA_01168	CDS	1164				hypothetical protein
JKDPDCFA_01169	CDS	1305				hypothetical protein
JKDPDCFA_01170	CDS	264				hypothetical protein
JKDPDCFA_01171	CDS	1332	sir	1.8.7.1	COG0155	Sulfite reductase [ferredoxin]
JKDPDCFA_01172	CDS	192				hypothetical protein
JKDPDCFA_01173	CDS	849				hypothetical protein
JKDPDCFA_01174	CDS	1482	glgA	2.4.1.21	COG0297	Glycogen synthase
JKDPDCFA_01175	CDS	504				hypothetical protein
JKDPDCFA_01176	CDS	138				hypothetical protein
JKDPDCFA_01177	CDS	714	crp		COG0664	CRP-like cAMP-activated global transcriptional regulator
JKDPDCFA_01178	CDS	1422				hypothetical protein
JKDPDCFA_01179	CDS	795	cpoB_3			Cell division coordinator CpoB
JKDPDCFA_01180	CDS	261				hypothetical protein
JKDPDCFA_01181	CDS	1362	hndC	1.12.1.3	COG1145	NADP-reducing hydrogenase subunit HndC
JKDPDCFA_01182	CDS	528	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
JKDPDCFA_01183	CDS	1149	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
JKDPDCFA_01184	CDS	666				hypothetical protein
JKDPDCFA_01185	CDS	879				hypothetical protein
JKDPDCFA_01186	CDS	1365				hypothetical protein
JKDPDCFA_01187	CDS	1452				hypothetical protein
JKDPDCFA_01188	CDS	1239				hypothetical protein
JKDPDCFA_01189	CDS	1017	nanM	5.1.3.24		N-acetylneuraminate epimerase
JKDPDCFA_01190	CDS	399				hypothetical protein
JKDPDCFA_01191	CDS	708				hypothetical protein
JKDPDCFA_01192	CDS	177				hypothetical protein
JKDPDCFA_01193	CDS	942				hypothetical protein
JKDPDCFA_01194	CDS	915				hypothetical protein
JKDPDCFA_01195	CDS	774				hypothetical protein
JKDPDCFA_01196	CDS	786				hypothetical protein
JKDPDCFA_01197	CDS	702				hypothetical protein
JKDPDCFA_01198	CDS	276				hypothetical protein
JKDPDCFA_01199	CDS	207	cspLA		COG1278	Cold shock-like protein CspLA
JKDPDCFA_01200	CDS	603				hypothetical protein
JKDPDCFA_01201	CDS	384				hypothetical protein
JKDPDCFA_01202	CDS	708				hypothetical protein
JKDPDCFA_01203	CDS	1392	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
JKDPDCFA_01204	CDS	1314	hisZ			ATP phosphoribosyltransferase regulatory subunit
JKDPDCFA_01205	CDS	1608	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
JKDPDCFA_01206	CDS	1146		2.6.1.51	COG0075	Serine-pyruvate aminotransferase
JKDPDCFA_01207	CDS	1425	oppA		COG4166	Periplasmic oligopeptide-binding protein
JKDPDCFA_01208	rRNA	110				5S ribosomal RNA
JKDPDCFA_01209	rRNA	2977				23S ribosomal RNA
JKDPDCFA_01210	tRNA	76				tRNA-Ala(tgc)
JKDPDCFA_01211	tRNA	77				tRNA-Ile(gat)
JKDPDCFA_01212	rRNA	1556				16S ribosomal RNA
JKDPDCFA_01213	CDS	708				hypothetical protein
JKDPDCFA_01214	CDS	3084	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
JKDPDCFA_01215	CDS	1125	czcB			Cobalt-zinc-cadmium resistance protein CzcB
JKDPDCFA_01216	CDS	453	tyrS_1	6.1.1.1	COG0162	Tyrosine--tRNA ligase
JKDPDCFA_01217	CDS	774	tyrS_2	6.1.1.1	COG0162	Tyrosine--tRNA ligase
JKDPDCFA_01218	CDS	1053				hypothetical protein
JKDPDCFA_01219	CDS	111				hypothetical protein
JKDPDCFA_01220	CDS	417	ndk	2.7.4.6		Nucleoside diphosphate kinase
JKDPDCFA_01221	CDS	1050				hypothetical protein
JKDPDCFA_01222	CDS	927		5.1.3.2	COG1088	UDP-glucose 4-epimerase
JKDPDCFA_01223	CDS	720	sfsA		COG1489	Sugar fermentation stimulation protein A
JKDPDCFA_01224	CDS	1332	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
JKDPDCFA_01225	CDS	1128	thiO	1.4.3.19	COG0665	Glycine oxidase
JKDPDCFA_01226	CDS	1260				hypothetical protein
JKDPDCFA_01227	CDS	531				hypothetical protein
JKDPDCFA_01228	CDS	759			COG0217	putative transcriptional regulatory protein
JKDPDCFA_01229	CDS	1098	pheA			Bifunctional chorismate mutase/prephenate dehydratase
JKDPDCFA_01230	CDS	1023	aroF	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
JKDPDCFA_01231	CDS	909	tyrC	1.3.1.43		Cyclohexadienyl dehydrogenase
JKDPDCFA_01232	CDS	1365	aroA1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
JKDPDCFA_01233	CDS	666	cmk	2.7.4.25		Cytidylate kinase
JKDPDCFA_01234	CDS	699	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
JKDPDCFA_01235	CDS	984				hypothetical protein
JKDPDCFA_01236	CDS	921				hypothetical protein
JKDPDCFA_01237	CDS	621		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
JKDPDCFA_01238	CDS	576	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
JKDPDCFA_01239	CDS	885	folD			Bifunctional protein FolD protein
JKDPDCFA_01240	CDS	870	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
JKDPDCFA_01241	CDS	846	panB	2.1.2.11		3-methyl-2-oxobutanoate hydroxymethyltransferase
JKDPDCFA_01242	CDS	546	chaC	4.3.2.7	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
JKDPDCFA_01243	CDS	813	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
JKDPDCFA_01244	CDS	582				hypothetical protein
JKDPDCFA_01245	CDS	441				hypothetical protein
JKDPDCFA_01246	CDS	1119				hypothetical protein
JKDPDCFA_01247	CDS	2838	lutA			Lactate utilization protein A
JKDPDCFA_01248	CDS	999	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
JKDPDCFA_01249	CDS	4578	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
JKDPDCFA_01250	CDS	333				hypothetical protein
JKDPDCFA_01251	CDS	1500	rpoS			RNA polymerase sigma factor RpoS
JKDPDCFA_01252	CDS	300	yccX	3.6.1.7		Acylphosphatase
JKDPDCFA_01253	tRNA	77				tRNA-Pro(cgg)
JKDPDCFA_01254	CDS	1416	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
JKDPDCFA_01255	CDS	195				hypothetical protein
JKDPDCFA_01256	CDS	1110	hisC_2	2.6.1.9		Histidinol-phosphate aminotransferase
JKDPDCFA_01257	CDS	1017	cobD		COG1270	Cobalamin biosynthesis protein CobD
JKDPDCFA_01258	CDS	1503	cobQ			Cobyric acid synthase
JKDPDCFA_01259	CDS	552				hypothetical protein
JKDPDCFA_01260	CDS	1674	ilvD_3	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
JKDPDCFA_01261	CDS	1434				hypothetical protein
JKDPDCFA_01262	CDS	339				hypothetical protein
JKDPDCFA_01263	CDS	816				hypothetical protein
JKDPDCFA_01264	CDS	1431	tsrM	2.1.1.106		Tryptophan 2-C-methyltransferase
JKDPDCFA_01265	CDS	666				hypothetical protein
JKDPDCFA_01266	CDS	540				hypothetical protein
JKDPDCFA_01267	CDS	840	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
JKDPDCFA_01268	CDS	540				hypothetical protein
JKDPDCFA_01269	CDS	756	cbiL	2.1.1.151	COG2243	Cobalt-precorrin-2 C(20)-methyltransferase
JKDPDCFA_01270	CDS	204	yacG			DNA gyrase inhibitor YacG
JKDPDCFA_01271	CDS	633	ribE	2.5.1.9	COG0307	Riboflavin synthase
JKDPDCFA_01272	CDS	1167	ribD		COG0117	Riboflavin biosynthesis protein RibD
JKDPDCFA_01273	CDS	2220	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
JKDPDCFA_01274	CDS	948				hypothetical protein
JKDPDCFA_01275	CDS	1239				hypothetical protein
JKDPDCFA_01276	CDS	924	bioB	2.8.1.6		Biotin synthase
JKDPDCFA_01277	CDS	900	bioW	6.2.1.14		6-carboxyhexanoate--CoA ligase
JKDPDCFA_01278	CDS	1143	bioF	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase 2
JKDPDCFA_01279	CDS	411	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
JKDPDCFA_01280	CDS	1407	ftsI	3.4.16.4		Peptidoglycan D,D-transpeptidase FtsI
JKDPDCFA_01281	CDS	2178				hypothetical protein
JKDPDCFA_01282	CDS	882				hypothetical protein
JKDPDCFA_01283	CDS	285	remA		COG2052	Extracellular matrix regulatory protein A
JKDPDCFA_01284	CDS	708	gmk	2.7.4.8		Guanylate kinase
JKDPDCFA_01285	CDS	405	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
JKDPDCFA_01286	CDS	609	coaBC_1	6.3.2.5		Coenzyme A biosynthesis bifunctional protein CoaBC
JKDPDCFA_01287	CDS	618	coaBC_2		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
JKDPDCFA_01288	CDS	1395				hypothetical protein
JKDPDCFA_01289	CDS	450	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
JKDPDCFA_01290	CDS	576	efp		COG0231	Elongation factor P
JKDPDCFA_01291	CDS	474	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
JKDPDCFA_01292	CDS	1371	accC	6.3.4.14	COG0439	Biotin carboxylase
JKDPDCFA_01293	CDS	639	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
JKDPDCFA_01294	CDS	2625				hypothetical protein
JKDPDCFA_01295	CDS	447	rcp1			Response regulator rcp1
JKDPDCFA_01296	CDS	1806	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
JKDPDCFA_01297	CDS	180				hypothetical protein
JKDPDCFA_01298	CDS	324				hypothetical protein
JKDPDCFA_01299	CDS	846				hypothetical protein
JKDPDCFA_01300	CDS	855				hypothetical protein
JKDPDCFA_01301	CDS	207				hypothetical protein
JKDPDCFA_01302	CDS	333				hypothetical protein
JKDPDCFA_01303	CDS	714	bioD	6.3.3.3		ATP-dependent dethiobiotin synthetase BioD
JKDPDCFA_01304	CDS	522				hypothetical protein
JKDPDCFA_01305	CDS	1176	fdtB	2.6.1.90		dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase
JKDPDCFA_01306	CDS	2196	bepA_4	3.4.-.-		Beta-barrel assembly-enhancing protease
JKDPDCFA_01307	CDS	696				hypothetical protein
JKDPDCFA_01308	CDS	483				hypothetical protein
JKDPDCFA_01309	CDS	1095	lcdH	1.1.1.108		L-carnitine dehydrogenase
JKDPDCFA_01310	CDS	1041				hypothetical protein
JKDPDCFA_01311	CDS	774	mimB	1.18.1.-		Propane 2-monooxygenase, reductase component
JKDPDCFA_01312	CDS	858				hypothetical protein
JKDPDCFA_01313	CDS	771	ybhF_2		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
JKDPDCFA_01314	CDS	600				hypothetical protein
JKDPDCFA_01315	CDS	732				hypothetical protein
JKDPDCFA_01316	CDS	1425	bepC			Outer membrane efflux protein BepC
JKDPDCFA_01317	CDS	933	cmpR_1		COG0583	HTH-type transcriptional activator CmpR
JKDPDCFA_01318	CDS	3213	swrC_2		COG0841	Swarming motility protein SwrC
JKDPDCFA_01319	CDS	1131	mdtA_1			Multidrug resistance protein MdtA
JKDPDCFA_01320	CDS	633				hypothetical protein
JKDPDCFA_01321	CDS	843				hypothetical protein
JKDPDCFA_01322	CDS	714				hypothetical protein
JKDPDCFA_01323	CDS	729				hypothetical protein
JKDPDCFA_01324	CDS	774				hypothetical protein
JKDPDCFA_01325	CDS	768	purQ	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurQ
JKDPDCFA_01326	CDS	2214	purL	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurL
JKDPDCFA_01327	CDS	1515	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
JKDPDCFA_01328	CDS	1833				hypothetical protein
JKDPDCFA_01329	CDS	912	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
JKDPDCFA_01330	CDS	1290				hypothetical protein
JKDPDCFA_01331	CDS	1287	entS			Enterobactin exporter EntS
JKDPDCFA_01332	CDS	1086	pimA	2.4.1.345	COG0438	Phosphatidyl-myo-inositol mannosyltransferase
JKDPDCFA_01333	CDS	1503	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
JKDPDCFA_01334	CDS	858	otsB	3.1.3.12	COG0637	Trehalose-phosphate phosphatase
JKDPDCFA_01335	CDS	867	rmlD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
JKDPDCFA_01336	CDS	180				hypothetical protein
JKDPDCFA_01337	CDS	249				hypothetical protein
JKDPDCFA_01338	CDS	465				hypothetical protein
JKDPDCFA_01339	CDS	975	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
JKDPDCFA_01340	CDS	630	rpsD		COG0522	30S ribosomal protein S4
JKDPDCFA_01341	CDS	375	rpsM		COG0099	30S ribosomal protein S13
JKDPDCFA_01342	CDS	219	infA		COG0361	Translation initiation factor IF-1
JKDPDCFA_01343	CDS	759	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
JKDPDCFA_01344	CDS	660	adk	2.7.4.3		Adenylate kinase
JKDPDCFA_01345	CDS	1314	secY		COG0201	Protein translocase subunit SecY
JKDPDCFA_01346	CDS	288	rplO			50S ribosomal protein L15
JKDPDCFA_01347	CDS	486	rpsE			30S ribosomal protein S5
JKDPDCFA_01348	CDS	354	rplR			50S ribosomal protein L18
JKDPDCFA_01349	CDS	540	rplF			50S ribosomal protein L6
JKDPDCFA_01350	CDS	399	rpsH		COG0096	30S ribosomal protein S8
JKDPDCFA_01351	CDS	681				hypothetical protein
JKDPDCFA_01352	CDS	201	rpmC			50S ribosomal protein L29
JKDPDCFA_01353	CDS	681	rpsC		COG0092	30S ribosomal protein S3
JKDPDCFA_01354	CDS	333	rplV		COG0091	50S ribosomal protein L22
JKDPDCFA_01355	CDS	285	rpsS		COG0185	30S ribosomal protein S19
JKDPDCFA_01356	CDS	822	rplB			50S ribosomal protein L2
JKDPDCFA_01357	CDS	288	rplW		COG0089	50S ribosomal protein L23
JKDPDCFA_01358	CDS	657	rplD			50S ribosomal protein L4
JKDPDCFA_01359	CDS	624	rplC		COG0087	50S ribosomal protein L3
JKDPDCFA_01360	CDS	306	rpsJ		COG0051	30S ribosomal protein S10
JKDPDCFA_01361	CDS	1200	tufA_1		COG0050	Elongation factor Tu
JKDPDCFA_01362	CDS	2079	fusA		COG0480	Elongation factor G
JKDPDCFA_01363	CDS	474	rpsG			30S ribosomal protein S7
JKDPDCFA_01364	CDS	375	rpsL			30S ribosomal protein S12
JKDPDCFA_01365	CDS	4758	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
JKDPDCFA_01366	CDS	3120	rpoB_1	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
JKDPDCFA_01367	CDS	1968	rpoB_2	2.7.7.6		DNA-directed RNA polymerase subunit beta
JKDPDCFA_01368	CDS	387	rplL		COG0222	50S ribosomal protein L7/L12
JKDPDCFA_01369	CDS	525	rplJ		COG0244	50S ribosomal protein L10
JKDPDCFA_01370	CDS	699	rplA		COG0081	50S ribosomal protein L1
JKDPDCFA_01371	CDS	426	rplK			50S ribosomal protein L11
JKDPDCFA_01372	CDS	555	nusG		COG0250	Transcription termination/antitermination protein NusG
JKDPDCFA_01373	CDS	210	secE			Protein translocase subunit SecE
JKDPDCFA_01374	tRNA	77				tRNA-Trp(cca)
JKDPDCFA_01375	CDS	1200	tufA_2		COG0050	Elongation factor Tu
JKDPDCFA_01376	tRNA	76				tRNA-Thr(ggt)
JKDPDCFA_01377	tRNA	75				tRNA-Gly(tcc)
JKDPDCFA_01378	tRNA	86				tRNA-Tyr(gta)
JKDPDCFA_01379	CDS	762				hypothetical protein
JKDPDCFA_01380	CDS	1140		1.6.99.-	COG1252	NADH dehydrogenase-like protein
JKDPDCFA_01381	tRNA	86				tRNA-Leu(tag)
JKDPDCFA_01382	CDS	1041				hypothetical protein
JKDPDCFA_01383	CDS	1452	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
JKDPDCFA_01384	CDS	570				hypothetical protein
JKDPDCFA_01385	CDS	171				hypothetical protein
JKDPDCFA_01386	CDS	225				hypothetical protein
JKDPDCFA_01387	CDS	693	rlpA	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
JKDPDCFA_01388	CDS	384				hypothetical protein
JKDPDCFA_01389	CDS	558				hypothetical protein
JKDPDCFA_01390	CDS	231	rpsR		COG0238	30S ribosomal protein S18
JKDPDCFA_01391	CDS	423				Single-stranded DNA-binding protein
JKDPDCFA_01392	CDS	369				hypothetical protein
JKDPDCFA_01393	CDS	1095	ychF		COG0012	Ribosome-binding ATPase YchF
JKDPDCFA_01394	CDS	564	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
JKDPDCFA_01395	CDS	624	ctc		COG1825	General stress protein CTC
JKDPDCFA_01396	CDS	945	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
JKDPDCFA_01397	tRNA	75				tRNA-Gln(ttg)
JKDPDCFA_01398	CDS	882	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
JKDPDCFA_01399	CDS	1389				hypothetical protein
JKDPDCFA_01400	CDS	552	pgsA_1	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
JKDPDCFA_01401	CDS	1248				hypothetical protein
JKDPDCFA_01402	CDS	654				hypothetical protein
JKDPDCFA_01403	CDS	1281	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
JKDPDCFA_01404	CDS	612	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
JKDPDCFA_01405	CDS	1404	tig	5.2.1.8		Trigger factor
JKDPDCFA_01406	CDS	1245	oxyE	1.14.13.232		6-methylpretetramide 4-monooxygenase
JKDPDCFA_01407	CDS	1749				hypothetical protein
JKDPDCFA_01408	CDS	1488	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
JKDPDCFA_01409	CDS	2934	tal	2.2.1.2		Transaldolase
JKDPDCFA_01410	CDS	2034	tkt	2.2.1.1		Transketolase
JKDPDCFA_01411	CDS	456				hypothetical protein
JKDPDCFA_01412	CDS	1035	glk	2.7.1.2	COG0837	Glucokinase
JKDPDCFA_01413	CDS	558				hypothetical protein
JKDPDCFA_01414	CDS	1491				hypothetical protein
JKDPDCFA_01415	CDS	459				hypothetical protein
JKDPDCFA_01416	CDS	456				hypothetical protein
JKDPDCFA_01417	CDS	231				hypothetical protein
JKDPDCFA_01418	CDS	957				hypothetical protein
JKDPDCFA_01419	CDS	327				hypothetical protein
JKDPDCFA_01420	CDS	1029	moaA			GTP 3',8-cyclase
JKDPDCFA_01421	CDS	1002	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
JKDPDCFA_01422	CDS	684	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
JKDPDCFA_01423	CDS	1389	hemY	1.3.3.4	COG1232	Protoporphyrinogen oxidase
JKDPDCFA_01424	CDS	237				hypothetical protein
JKDPDCFA_01425	CDS	552				hypothetical protein
JKDPDCFA_01426	CDS	1215	clcB			Voltage-gated ClC-type chloride channel ClcB
JKDPDCFA_01427	CDS	540				hypothetical protein
JKDPDCFA_01428	tRNA	78				tRNA-Arg(ccg)
JKDPDCFA_01429	CDS	747	xerC_3			Tyrosine recombinase XerC
JKDPDCFA_01430	CDS	315				hypothetical protein
JKDPDCFA_01431	CDS	261				hypothetical protein
JKDPDCFA_01432	CDS	216				hypothetical protein
JKDPDCFA_01433	CDS	564				hypothetical protein
JKDPDCFA_01434	CDS	393				hypothetical protein
JKDPDCFA_01435	CDS	429		3.1.-.-		Ribonuclease VapC44
JKDPDCFA_01436	CDS	159				hypothetical protein
JKDPDCFA_01437	CDS	945	bdlA		COG0840	Biofilm dispersion protein BdlA
JKDPDCFA_01438	CDS	162				hypothetical protein
JKDPDCFA_01439	CDS	135				hypothetical protein
JKDPDCFA_01440	CDS	1002				hypothetical protein
JKDPDCFA_01441	CDS	339				hypothetical protein
JKDPDCFA_01442	CDS	1074	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
JKDPDCFA_01443	CDS	1470	alkA		COG0122	putative bifunctional transcriptional activator/DNA repair enzyme AlkA
JKDPDCFA_01444	CDS	495	ogt	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
JKDPDCFA_01445	CDS	1092				hypothetical protein
JKDPDCFA_01446	CDS	522	bepA_5	3.4.-.-		Beta-barrel assembly-enhancing protease
JKDPDCFA_01447	CDS	612				hypothetical protein
JKDPDCFA_01448	CDS	414				hypothetical protein
JKDPDCFA_01449	CDS	636		3.2.2.-	COG2094	Putative 3-methyladenine DNA glycosylase
JKDPDCFA_01450	CDS	756				hypothetical protein
JKDPDCFA_01451	CDS	1044				hypothetical protein
JKDPDCFA_01452	CDS	1452			COG2308	putative protein
JKDPDCFA_01453	CDS	657	yceI			Protein YceI
JKDPDCFA_01454	CDS	882				hypothetical protein
JKDPDCFA_01455	CDS	351				hypothetical protein
JKDPDCFA_01456	CDS	2061	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
JKDPDCFA_01457	CDS	963	hycD		COG0650	Formate hydrogenlyase subunit 4
JKDPDCFA_01458	CDS	663				hypothetical protein
JKDPDCFA_01459	CDS	1458	ndhB_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
JKDPDCFA_01460	CDS	1500	hycE		COG3261	Formate hydrogenlyase subunit 5
JKDPDCFA_01461	CDS	510	ndhK_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit K, chloroplastic
JKDPDCFA_01462	CDS	1287				hypothetical protein
JKDPDCFA_01463	CDS	789				hypothetical protein
JKDPDCFA_01464	CDS	576				hypothetical protein
JKDPDCFA_01465	CDS	306				hypothetical protein
JKDPDCFA_01466	CDS	516				hypothetical protein
JKDPDCFA_01467	CDS	447				hypothetical protein
JKDPDCFA_01468	CDS	279				hypothetical protein
JKDPDCFA_01469	CDS	246				hypothetical protein
JKDPDCFA_01470	CDS	402		3.1.-.-	COG3744	Ribonuclease VapC22
JKDPDCFA_01471	CDS	192				hypothetical protein
JKDPDCFA_01472	CDS	498				hypothetical protein
JKDPDCFA_01473	CDS	255	fitA			Antitoxin FitA
JKDPDCFA_01474	CDS	423	fitB	3.1.-.-		Toxin FitB
JKDPDCFA_01475	CDS	1221				hypothetical protein
JKDPDCFA_01476	CDS	567				hypothetical protein
JKDPDCFA_01477	CDS	675				hypothetical protein
JKDPDCFA_01478	CDS	765				hypothetical protein
JKDPDCFA_01479	CDS	552				hypothetical protein
JKDPDCFA_01480	CDS	129				hypothetical protein
JKDPDCFA_01481	CDS	660				hypothetical protein
JKDPDCFA_01482	CDS	363				hypothetical protein
JKDPDCFA_01483	CDS	1104				hypothetical protein
JKDPDCFA_01484	CDS	264				hypothetical protein
JKDPDCFA_01485	CDS	1488	bchE	1.21.98.3		Anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase
JKDPDCFA_01486	CDS	999	hddA	2.7.1.168		D-glycero-alpha-D-manno-heptose 7-phosphate kinase
JKDPDCFA_01487	CDS	966	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase
JKDPDCFA_01488	CDS	1029	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
JKDPDCFA_01489	CDS	1047	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
JKDPDCFA_01490	CDS	1176	colD	4.2.1.168		GDP-4-keto-6-deoxy-D-mannose 3-dehydratase
JKDPDCFA_01491	CDS	744	hddC	2.7.7.71		D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase
JKDPDCFA_01492	CDS	939	strE	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
JKDPDCFA_01493	CDS	1083				hypothetical protein
JKDPDCFA_01494	CDS	291				hypothetical protein
JKDPDCFA_01495	CDS	819				IS3 family transposase ISCysp23
JKDPDCFA_01496	CDS	240				hypothetical protein
JKDPDCFA_01497	CDS	984				IS21 family transposase ISPpu7
JKDPDCFA_01498	CDS	762				IS21 family transposase ISPa77
JKDPDCFA_01499	CDS	132				hypothetical protein
JKDPDCFA_01500	CDS	240				IS21 family transposase ISUnCu3
JKDPDCFA_01501	CDS	447				IS21 family transposase IS1491
JKDPDCFA_01502	CDS	1578				IS21 family transposase ISPpu7
JKDPDCFA_01503	CDS	300				IS256 family transposase ISTdr1
JKDPDCFA_01504	CDS	753				IS256 family transposase ISOan6
JKDPDCFA_01505	CDS	183				hypothetical protein
JKDPDCFA_01506	CDS	723				hypothetical protein
JKDPDCFA_01507	CDS	291				hypothetical protein
JKDPDCFA_01508	CDS	786				IS3 family transposase ISVpa4
JKDPDCFA_01509	CDS	939				hypothetical protein
JKDPDCFA_01510	CDS	501				IS256 family transposase ISTdr1
JKDPDCFA_01511	CDS	1398				hypothetical protein
JKDPDCFA_01512	CDS	372				Insertion sequence IS5376 putative ATP-binding protein
JKDPDCFA_01513	CDS	837				hypothetical protein
JKDPDCFA_01514	CDS	1698				hypothetical protein
JKDPDCFA_01515	CDS	675				IS256 family transposase ISOan6
JKDPDCFA_01516	CDS	444				IS256 family transposase ISOan7
JKDPDCFA_01517	CDS	1038				hypothetical protein
JKDPDCFA_01518	CDS	1422				hypothetical protein
JKDPDCFA_01519	CDS	1188				hypothetical protein
JKDPDCFA_01520	CDS	1269				hypothetical protein
JKDPDCFA_01521	CDS	708	tagH	7.5.2.4		Teichoic acids export ATP-binding protein TagH
JKDPDCFA_01522	CDS	795				hypothetical protein
JKDPDCFA_01523	CDS	1512				hypothetical protein
JKDPDCFA_01524	CDS	1254				hypothetical protein
JKDPDCFA_01525	CDS	1089	mshA_6	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
JKDPDCFA_01526	CDS	111				hypothetical protein
JKDPDCFA_01527	CDS	207				hypothetical protein
JKDPDCFA_01528	CDS	318				hypothetical protein
JKDPDCFA_01529	CDS	300				hypothetical protein
JKDPDCFA_01530	CDS	1662	ndhB_3	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
JKDPDCFA_01531	CDS	2472				hypothetical protein
JKDPDCFA_01532	CDS	867				hypothetical protein
JKDPDCFA_01533	CDS	1677	ilvD_4	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
JKDPDCFA_01534	CDS	1020	ywlC_2	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
JKDPDCFA_01535	CDS	1686	ilvD_5	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
JKDPDCFA_01536	CDS	339				hypothetical protein
JKDPDCFA_01537	CDS	1668	ndhB_4	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
JKDPDCFA_01538	CDS	2481				hypothetical protein
JKDPDCFA_01539	CDS	330				hypothetical protein
JKDPDCFA_01540	CDS	1659	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
JKDPDCFA_01541	CDS	1470	atoC_3		COG2204	Regulatory protein AtoC
